Region,Year,REG_ID,    Labour Force with Elementary Education (ISCED 0-2),    Labour Force with Secondary education (ISCED 3-4),    Labour Force with Tertiary education (ISCED 5-8),    Labour Force with Unknown Educational Level,    R&D Employment in Full-Time Equivalent by the Business Sector,    R&D Employment in Full-Time Equivalent by the Government Sector,    R&D Employment in Full-Time Equivalent by the Higher Education Sector,    R&D Employment in Full-Time Equivalent by the Private and Non-Profit Sector,"    R&D Expenditures Performed by the Business Sector (millions USD, constant prices, constant PPP, base year 2010)",    R&D Expenditures Performed by the Business Sector (millions of current national currency),"    R&D Expenditures Performed by the Government Sector (millions USD, constant prices, constant PPP, base year 2010)",    R&D Expenditures Performed by the Government Sector (millions of current national currency),"    R&D Expenditures Performed by the Higher Education Sector (millions USD, constant prices, constant PPP, base year 2010)",    R&D Expenditures Performed by the Higher Education Sector (millions of current national currency),"    R&D Expenditures Performed by the Private and Non-Profit Sector (millions USD, constant prices, constant PPP, base year 2010)",    R&D Expenditures Performed by the Private and Non-Profit Sector (millions of current national currency),    R&D Female Employed by the Business Sector Rate (in % of Female employment),    R&D Female Employed by the Government Sector Rate (in % of Female employment),    R&D Female Employed by the Higher Education Sector Rate (in % of Female employment),    R&D Female Employed by the Private and Non-Profit Sector Rate (in % of Female employment),    R&D Female Personnel Employed by the Business Sector,    R&D Female Personnel Employed by the Government Sector,    R&D Female Personnel Employed by the Higher Education Sector,    R&D Female Personnel Employed by the Private and Non-Profit Sector,    R&D Personnel Employed by the Business Sector,    R&D Personnel Employed by the Business Sector Rate (in % of total employment),    R&D Personnel Employed by the Government Sector,    R&D Personnel Employed by the Government Sector Rate (in % of total employment),    R&D Personnel Employed by the Higher Education Sector,    R&D Personnel Employed by the Higher Education Sector Rate (in % of total employment),    R&D Personnel Employed by the Private and Non-Profit Sector,    R&D Personnel Employed by the Private and Non-Profit Sector Rate (in % of total employment),    Share of R&D Expenditures Performed by the Business Sector (in % of GDP),    Share of R&D Expenditures Performed by the Government Sector (in % of GDP),    Share of R&D Expenditures Performed by the Higher Education Sector (in % of GDP),    Share of R&D Expenditures Performed by the Private and Non-Profit Sector (in % of GDP),"    Share of R&D Female Employed by the Government Sector (in % of total R&D personnel, same sector)","    Share of R&D Female Employed by the Higher Education Sector (in % of total R&D personnel, same sector)","    Share of R&D Female Employed by the Private and Non-Profit Sector (in % of total R&D personnel, same sector)","    Share of R&D Female Personnel Employed by the Business Sector (in % of total R&D personnel, same sector)",    Student Enrolment at Elementary Level (ISCED 0-2),    Student Enrolment at Elementary Level Rate (in % of population),    Student Enrolment at Secondary Level (ISCED 3-4),    Student Enrolment at Secondary Level Rate (in % of population),    Student Enrolment at Tertiary Level (ISCED 5-6),    Student Enrolment at Tertiary Level Rate (in % of population),Employment in high-technology manufacturing,Employment in knowledge-intensive services,"Employment rate for 25 to 64 year-olds, below upper secondary education","Employment rate for 25 to 64 year-olds, with tertiary education","Employment rate for 25 to 64 year-olds, with upper secondary and post-secondary non-tertiary education",Labour Force Total,"PCT Patent Applications, count (fractional count; by inventor place of residence and priority year)","PCT co-patent applications, all count (total count; by inventor and priority year)",PCT patent applications in ICT - count,PCT patent applications in biotech - count,PCT patent applications in medical - count,PCT patent applications in nanotech - count,PCT patent applications in pharmaceuticals - count,PCT patent applications per million inhabitants (fractional count; by inventor and priority year) - level,R&D Female Personnel Rate (in % of Female employment),R&D Total Employment in Full-Time Equivalent,"R&D Total Expenditure (millions USD, constant prices, constant PPP, base year 2010)",R&D Total Expenditure (millions of current national currency),R&D Total Female Personnel,R&D Total Personnel,R&D Total Personnel Rate (in % of total employment),Share of Labour Force with Elementary Education (in % of labour force),Share of Labour Force with Secondary Education (in % of labour force),Share of Labour Force with Tertiary Education (in % of labour force),Share of R&D Female in R&D Total Personnel,Share of R&D Total Expenditure (in % of GDP),Share of employment in high-technology manufacturing (in % of total employment),Share of employment in knowledge-intensive services (as a share of total employment),Share of population 25 to 64 year-olds with tertiary education ,"Share of population 25 to 64 year-olds, below upper secondary education","Share of population 25 to 64 year-olds, with upper secondary and post-secondary non-tertiary education",Student Enrolment Total,"Total employment, all activities"
Australia,2010,AUS,2146330.0,3432470.0,3745330.0,,,,,,12236.7,18006.9,2604.73,3833.0,5435.8,8160.9,621.11,914.0,,,,,,,,,56510.5,0.51,,,69392.3,0.63,,,1.27,0.27,0.58,0.06,,,,,3497570.0,15.9,,,,,,,,,,9324130.0,1728.34,,495.721,172.505,164.226,15.9643,143.438,78.4,,,21008.5,30915.0,,,,23.0,36.8,40.2,,2.18,,,,,,,
Australia,2011,AUS,2131130.0,3508330.0,3896700.0,,,,,,12223.4,18321.3,2367.78,3549.0,5335.78,8885.0,630.07,944.4,,,,,,,,,64905.9,0.58,16688.9,0.15,,,5255.8,0.05,1.22,0.24,0.55,0.06,,,,,3529520.0,15.8,,,,,,,,,,9536150.0,1772.16,,506.754,167.281,201.905,11.0929,150.364,79.3,,,21148.6,31699.0,,,,22.3,36.8,40.9,,2.11,,,,,,,
Australia,2012,AUS,1954690.0,3450820.0,4210320.0,,,,,,12591.4,18849.4,2488.63,3725.5,6293.03,9609.7,641.61,960.5,,,,,,,,,,,16380.5,0.14,74669.0,0.66,5677.6,0.05,1.23,0.24,0.63,0.06,,,,,3576750.0,15.7,,,,,,,,,,9615820.0,1709.0,,561.985,157.162,161.056,17.9905,156.961,75.2,,,22133.5,33134.0,,,,20.3,35.9,43.8,,2.16,,,,,,,
Australia,2013,AUS,1933850.0,3652460.0,4221950.0,,,,,,12407.8,18849.4,2469.52,3751.6,,9918.6,626.53,951.8,,,,,,,,,78839.3,0.69,,,,,,,1.18,0.23,,0.06,,,,,3633440.0,15.7,,,,,,,,,,9808250.0,1785.79,,559.837,146.894,180.382,15.0333,144.442,77.2,,,22032.9,33471.5,,,,19.7,37.2,43.0,,2.09,,,,,,,
Australia,2014,AUS,1782790.0,3409490.0,4295020.0,,,,,,11026.7,16659.3,2203.65,3329.3,6597.35,10145.1,666.6,1007.1,,,,,,,,,,,14715.3,0.13,78038.1,0.68,6018.5,0.05,1.03,0.2,0.63,0.06,,,,,3682350.0,15.7,,,,,,,,,,9482470.0,1840.32,,619.117,154.618,217.386,14.5833,139.927,78.4,,,20581.0,31093.9,,,,18.8,36.0,45.3,,1.91,,,,,,,
Australia,2015,AUS,1618090.0,3618750.0,4504430.0,,,,,,11085.8,16659.3,2634.49,3959.0,,9549.0,672.76,1011.0,,,,,,,,,70466.6,0.6,,,,,,,1.0,0.24,,0.06,,,,,,,,,,,,,,,,9741270.0,1867.07,,601.101,156.784,258.804,24.3429,141.781,78.5,,,20747.9,31179.0,,,,16.6,37.1,46.2,,1.88,,,,,,,
Australia,2016,AUS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58.6,83.6,78.1,,,,,,,,,,,,,,,,,,,,,,,,43.7,20.0,36.3,,
Australia,2017,AUS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58.7,84.1,78.4,,,,,,,,,,,,,,,,,,,,,,,,45.2,19.2,35.7,,
Austria,2000,AUT,811200.0,2466700.0,586200.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,996397.0,12.4,424548.0,5.3,261229.0,3.3,,,,,,3864700.0,765.317,,188.501,60.9491,37.3191,6.6806,55.4256,95.6,,,6285.27,4028.67,,,,21.0,63.8,15.2,,1.89,,,14.1,23.8,62.1,1682170.0,
Austria,2001,AUT,766300.0,2484100.0,598300.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,998379.0,12.4,423931.0,5.3,264669.0,3.3,,,,,,3850800.0,713.913,,200.8,71.3346,44.687,1.3333,59.8179,89.0,,,6722.91,4393.09,,,,19.9,64.5,15.5,,1.99,,,14.8,22.5,62.6,1686980.0,
Austria,2002,AUT,754500.0,2421600.0,680200.0,,,,,,4737.04,3130.88,403.11,266.428,1735.66,1266.1,31.62,20.897,0.31,0.17,0.63,0.02,5096.0,2744.0,10389.0,313.0,34020.0,0.93,6010.0,0.16,25072.0,0.68,623.0,0.02,1.38,0.12,0.56,0.01,45.66,41.44,50.24,14.98,996223.0,12.3,423811.0,5.2,223735.0,2.8,,,,,,3856200.0,859.066,,261.156,68.9322,41.3166,4.0493,81.5952,106.5,1.12,,7087.39,4684.31,18542.0,65725.0,1.79,19.6,62.8,17.6,28.21,2.07,,,15.7,21.7,62.7,1643770.0,
Austria,2003,AUT,754600.0,2502700.0,675300.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,992656.0,12.2,426374.0,5.2,229802.0,2.8,,,,,,3933300.0,938.508,,256.642,64.5932,53.9026,6.8333,60.5841,115.9,,,7530.08,5041.98,,,,19.2,63.6,17.2,,2.17,,,15.7,21.0,63.3,1648830.0,
Austria,2004,AUT,686600.0,2412400.0,730100.0,,,,,,5220.69,3556.48,396.1,269.832,1864.24,1401.65,31.69,21.586,0.39,0.16,0.77,0.02,6457.0,2565.0,12578.0,311.0,38737.0,1.07,5531.0,0.15,29358.0,0.81,565.0,0.02,1.47,0.11,0.58,0.01,46.37,42.84,55.04,16.67,988211.0,12.1,442285.0,5.4,238522.0,2.9,,,,,,3829600.0,1068.83,,278.921,63.3378,54.8168,6.589,66.6296,131.3,1.34,,7706.01,5249.55,21911.0,74191.0,2.06,17.9,63.0,19.1,29.53,2.17,,,18.0,20.2,61.8,1669020.0,
Austria,2005,AUT,710600.0,2538500.0,721800.0,,32780.0,2318.0,12353.0,174.0,6023.73,4207.67,449.4,313.916,1933.14,1490.34,25.61,17.888,,,,,,,,,,,,,,,,,1.66,0.12,0.59,0.01,,,,,978540.0,11.9,455445.0,5.5,244410.0,3.0,,,,,,3970900.0,1158.75,,316.344,60.8525,68.7262,17.7977,58.3978,141.3,,47625.0,8632.32,6029.81,,,,17.9,63.9,18.2,,2.37,,,17.7,19.6,62.7,1678400.0,
Austria,2006,AUT,754800.0,2563800.0,719100.0,,34126.0,2423.0,12668.0,161.0,6250.49,4448.68,463.98,330.232,1939.02,1523.16,23.21,16.519,0.44,0.14,0.82,0.01,7676.0,2474.0,14348.0,232.0,45336.0,1.18,5511.0,0.14,32715.0,0.86,404.0,0.01,1.66,0.12,0.57,0.01,44.89,43.86,57.43,16.93,966681.0,11.7,467731.0,5.7,253139.0,3.1,,,,,,4037700.0,1302.96,,398.274,88.566,80.5345,14.8312,83.1218,157.9,1.42,49377.0,8877.75,6318.59,24730.0,83966.0,2.19,18.7,63.5,17.8,29.45,2.36,,,17.5,19.9,62.7,1687550.0,
Austria,2007,AUT,806200.0,2594800.0,722800.0,,36989.0,2488.0,13613.0,162.0,6660.6,4845.86,504.85,367.3,2039.01,1637.28,23.88,17.377,0.45,0.14,0.88,0.01,8112.0,2476.0,15793.0,190.0,48352.0,1.23,5500.0,0.14,35269.0,0.9,337.0,0.01,1.71,0.13,0.58,0.01,45.02,44.78,56.38,16.78,954141.0,11.5,460832.0,5.6,260975.0,3.1,,,,,,4123900.0,1317.11,,382.479,105.293,72.3389,15.0501,76.0952,159.0,1.49,53252.0,9439.76,6867.81,26571.0,89458.0,2.28,19.5,62.9,17.5,29.7,2.42,,,17.3,20.1,62.6,1675950.0,
Austria,2008,AUT,765800.0,2658700.0,741500.0,,40296.0,2711.0,14831.0,177.0,7054.2,5232.63,543.57,403.21,2301.93,1884.56,37.3,27.67,,,,,,,,,,,,,,,,,1.78,0.14,0.64,0.01,,,,,944200.0,11.3,464030.0,5.6,284791.0,3.4,43200.0,1395200.0,,,,4166100.0,1183.41,,291.004,80.1777,78.2277,3.0833,68.9616,142.4,,58014.0,10175.7,7548.06,,,,18.4,63.8,17.8,,2.57,1.09,35.04,17.9,19.1,63.0,1693020.0,3981300.0
Austria,2009,AUT,739800.0,2671200.0,794100.0,,38303.0,2679.0,15059.0,397.0,6738.53,5092.9,528.05,399.093,2339.91,1951.85,47.51,35.905,0.49,0.15,0.96,0.02,9057.0,2809.0,17731.0,382.0,50668.0,1.27,6008.0,0.15,39084.0,0.98,742.0,0.02,1.77,0.14,0.68,0.01,46.75,45.37,51.48,17.88,937197.0,11.2,456969.0,5.5,308150.0,3.7,42100.0,1450900.0,,,,4205100.0,1278.1,,266.532,71.4512,85.9855,0.4762,51.7861,153.3,1.62,56438.0,9896.61,7479.74,29979.0,96502.0,2.42,17.6,63.5,18.9,31.07,2.6,1.06,36.57,18.9,18.4,62.7,1702320.0,3967800.0
Austria,2010,AUT,712400.0,2702300.0,805400.0,,40954.0,2680.0,15878.0,411.0,7240.97,5520.42,554.07,422.417,2477.19,2084.4,51.42,39.204,,,,,,,,,,,,,,,,,1.87,0.14,0.7,0.01,,,,,929039.0,11.1,448993.0,5.4,350190.0,4.2,39000.0,1490200.0,,,,4220100.0,1405.46,,260.476,82.6609,77.645,4.2332,75.4883,168.3,,59923.0,10580.5,8066.44,,,,16.9,64.0,19.1,,2.73,0.97,37.22,19.1,17.6,63.2,1728220.0,4003600.0
Austria,2011,AUT,721600.0,2707400.0,817200.0,,42098.0,2567.0,16096.0,410.0,7332.69,5692.84,547.71,425.222,2471.28,2117.55,52.45,40.719,0.54,0.16,1.03,0.02,10142.0,3020.0,19407.0,445.0,58643.0,1.45,6185.0,0.15,42291.0,1.04,830.0,0.02,1.84,0.14,0.68,0.01,48.83,45.89,53.61,17.29,918524.0,10.9,441071.0,5.3,361797.0,4.3,43000.0,1470500.0,,,,4246200.0,1440.37,,316.608,95.4767,76.8168,3.3334,57.1564,172.0,1.75,61171.0,10660.4,8276.33,33014.0,107949.0,2.66,17.0,63.8,19.2,30.58,2.67,1.06,36.4,19.2,17.6,63.2,1721390.0,4039900.0
Austria,2012,AUT,698800.0,2739300.0,855200.0,,45468.0,2544.0,16678.0,399.0,8254.89,6540.46,536.59,425.148,2609.16,2281.63,51.25,40.61,,,,,,,,,,,,,,,,,2.05,0.13,0.72,0.01,,,,,915192.0,10.9,438035.0,5.2,376498.0,4.5,44400.0,1494300.0,,,,4293400.0,1403.17,,315.495,94.0035,92.95,4.725,70.5247,166.9,,65088.0,11722.4,9287.84,,,,16.3,63.8,19.9,,2.91,1.09,36.7,19.8,17.1,63.1,1729730.0,4071400.0
Austria,2013,AUT,684000.0,2750400.0,901600.0,,46412.0,2538.0,16840.0,396.0,8418.52,6778.42,527.69,424.885,2619.38,2327.75,49.96,40.223,0.59,0.16,1.08,0.02,11434.0,3057.0,20758.0,470.0,65320.0,1.59,6232.0,0.15,44601.0,1.09,890.0,0.02,2.09,0.13,0.72,0.01,49.05,46.54,52.81,17.5,937907.0,11.1,389669.0,4.6,397121.0,4.7,44400.0,1539200.0,,,,4336000.0,1477.68,,318.348,65.2521,98.5249,4.5,56.1896,174.8,1.86,66186.0,11887.1,9571.28,35719.0,117043.0,2.85,15.8,63.4,20.8,30.52,2.95,1.09,37.62,20.6,17.0,62.4,,4091900.0
Austria,2014,AUT,643600.0,2339500.0,1374500.0,,49539.0,2641.0,17479.0,480.0,8903.24,7324.68,568.3,467.541,2677.26,2434.3,59.14,48.655,,,,,,,,,,,,,,,,,2.2,0.14,0.73,0.01,,,,,943160.0,11.0,383319.0,4.5,396645.0,4.6,48800.0,1554100.0,,,,4357600.0,1499.07,,323.456,74.599,82.1913,,60.621,176.2,,70138.0,12489.6,10275.2,,,,14.8,53.7,31.5,,3.08,1.19,37.93,29.9,16.1,54.0,,4097500.0
Austria,2015,AUT,620500.0,2357600.0,1422000.0,,50534.0,2674.0,17682.0,507.0,8909.5,7498.49,571.65,481.113,2661.87,2468.21,61.0,51.338,0.63,0.17,1.12,0.03,12285.0,3283.0,21962.0,554.0,71008.0,1.71,6632.0,0.16,47562.0,1.15,969.0,0.02,2.18,0.14,0.72,0.01,49.5,46.18,57.17,17.3,951210.0,11.0,377547.0,4.4,401914.0,4.7,50400.0,1582100.0,,,,4400100.0,1528.29,,329.661,78.2595,94.3512,3.0,75.4483,178.0,1.95,71396.0,12474.8,10499.1,38084.0,126171.0,3.04,14.1,53.6,32.3,30.18,3.05,1.22,38.28,30.6,15.4,54.1,,4133100.0
Austria,2016,AUT,637800.0,2364900.0,1487500.0,,51895.0,5208.0,17571.0,579.0,9144.38,7824.51,922.83,789.63,,2473.77,63.69,54.5,,,,,,,,,,,,,,,,,2.19,0.22,,0.02,,,,,,,,,,,50100.0,1597100.0,,,,4490300.0,,,,,,,,,,75165.0,13025.0,11145.0,,,,14.2,52.7,33.1,,3.12,1.19,37.99,31.4,15.5,53.1,,4203700.0
Austria,2017,AUT,626500.0,2350800.0,1531100.0,,52478.0,5266.0,,585.0,9115.83,7888.44,932.11,806.604,,,71.13,61.551,0.6,0.23,,0.03,12117.0,4679.0,,591.0,71327.0,1.67,10314.0,0.24,,,1028.0,0.02,2.13,0.22,,0.02,45.37,,57.49,16.99,,,,,,,53600.0,1652300.0,54.1,86.4,76.6,4508300.0,,,,,,,,,2.0,76010.0,13046.4,11289.8,40094.0,131032.0,3.08,13.9,52.1,34.0,30.6,3.05,1.26,38.92,32.4,15.0,52.6,,4244900.0
Austria,2018,AUT,,,,,55751.0,5595.0,,622.0,9614.64,8461.72,983.11,865.22,,,75.02,66.02,,,,,,,,,,,,,,,,,2.19,0.22,,0.02,,,,,,,,,,,52400.0,1663300.0,,,,,,,,,,,,,,80750.0,13760.3,12110.2,,,,,,,,3.14,1.22,38.65,32.7,14.7,52.6,,4303900.0
Austria,2019,AUT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49000.0,1681400.0,,,,,,,,,,,,,,,,,,,,,,,,,1.13,38.76,33.8,14.4,51.8,,4338200.0
Belgium,2000,BEL,1418400.0,1584500.0,1407600.0,,,,,,5519.23,3588.61,480.07,312.14,1447.44,1004.74,89.93,58.47,0.46,,,,7942.0,,,,38902.0,0.94,,,26606.0,0.65,,,1.4,0.12,0.39,0.02,,,,20.42,1546640.0,15.1,732871.0,7.1,355748.0,3.5,,,,,,4410500.0,801.143,,149.399,137.254,40.4822,2.3609,135.164,78.2,,,7634.48,4963.95,,,,32.2,35.9,31.9,,1.94,,,27.1,41.5,31.5,2635260.0,
Belgium,2001,BEL,1317700.0,1570400.0,1416300.0,,,,,,5913.34,3921.1,499.01,330.893,1494.85,1059.46,93.39,61.926,0.51,,,,8727.0,,,,41028.0,1.02,,,,,,,1.48,0.13,0.4,0.02,,,,21.27,1565850.0,15.2,779206.0,7.6,359265.0,3.5,,,,,,4304500.0,767.251,,149.86,139.964,37.6006,1.1429,128.992,74.8,,,8103.49,5373.38,,,,30.6,36.5,32.9,,2.03,,,27.6,40.5,31.8,2704320.0,
Belgium,2002,BEL,1294300.0,1622100.0,1436900.0,,,,,,5434.0,3662.35,552.91,372.644,1527.01,1100.43,96.92,65.318,0.51,0.08,0.75,0.02,8771.0,1315.0,12855.0,319.0,37534.0,0.93,3846.0,0.09,31205.0,0.77,602.0,0.01,1.34,0.14,0.4,0.02,34.19,41.2,52.99,23.37,1575580.0,15.2,791025.0,7.7,366982.0,3.6,,,,,,4353300.0,797.122,,166.474,127.713,53.2423,8.4166,128.852,77.3,1.35,,7716.58,5200.74,23260.0,73187.0,1.81,29.7,37.3,33.0,31.78,1.9,,,28.1,39.2,32.7,2733590.0,
